漢字	音読み	訓読み	フランス語
一	イチ	ひと	un
二	二		
三	サン	み、みつ	
四	シ	よ、よん	
五	ゴ		
六	ロク		
七	シチ	なな	
八	ハチ	や	Huit
九	キュウ	ここの	Neuf
十	ジュウ		Dix
百	ヒャク		Cent
千	セン		Mille
私		わたし	Je/Moi
人	ジン	ひと	Personne
先	セン		Avant/Précedent
生	セイ、ジョウ		Vie/Naître
教	キョウ	おし(える)	Enseigner
師	シ		Maître/Professeur
学	ガク		Étudier
会	カイ	あ(う)	Rencontrer
社	シャ		Entreprise
員	イン		Membre
銀	ギン		Argent (métal)
行	コウ	い(く)	Aller
医	イ		Médecine
者	シャ		Personne
研	ケン		Rechercher
究	キュウ		Étudier/Rechercher
大	ダイ	おお(きい)	Grand
病	ビョウ		Maladie
院	イン		Institution
歳	サイ		Âge
何		なん、なに	Quoi
初		はじ(めまして)	Premier
失	シツ		Perdre
礼	レイ		Remerciement
名		な	Nom
前	ゼン	まえ	Avant/Précedent
誰		だれ	Quoi
本	ホン		Livre
辞	ジ		Démissionner
書	ショ	か(く)	Écrire
雑	ザツ		Divers
誌	シ		Magazine
新	シン		Nouveau
聞	ブン	き(く)	Écouter
手	ズ	て	Main
帳	チョウ		Carnet
刺	シ		Piquer
鉛	エン		Plomb
筆	ヒツ		Pinceau
時	ジ	と、とき	Temps
計	ケイ		Calculer
傘		かさ	Parapluie
車	シャ	くるま	Voiture
机		つくえ	Bureau
土	ド		Terre
産			Naissance
英	エイ		Anglais (langue)
語	ゴ		Langue
日	ニチ		jour
室	シツ		Pièce
食	ショク	た(べる)	Manger
堂	ドウ		Salle
事	ジ	こと	Chose
務	ム		Devoir
所	ショ	ところ	Place
議	ギ		Discussion
受		うけ	Recevoir
付		つけ	Attacher
部		へ	Section
屋	ヤ		Magasin
階	カイ		Étage
段	ダン		Étape
自	ジ		Soi
動	ドウ		Mouvement
販	ハン		Vente
売	バイ		Vendre
機	キ		Machine
電	デン		Électricité
話	ワ		Parler
国		くに	Pays
靴		くつ	Chaussure
場	バ		Place
地	チ		Terre
下	カ	した	Bas
円		えん	Yen
万	マン		Dix mille
起		お(きる)	Lever
寝		ね(る)	Dormir
働		はたら(く)	Travailler
休		やす(む)、やす(み)	Repos
勉	ベン		Étudier
強	キョウ		Fort
終		お(わる)	Fin
郵	ユウ		Postal
便	ビン。ベン		Commodité
局	キョク		Bureau
図	ト		Image
館	カン		Bâtiment
美	ビ		Beauté
術	ジュツ		Art
今	コン	いま	Maintenant
分	フン、プン		Partie
半	ハン		Demi
午	ゴ		Midi
後	ゴ		Après
朝		あさ	Matin
昼		ひる	Midi
晩	バン		Soir
夜		よる	Nuit
試	シ		Tester
験	ケン		Expérience
映	エイ		Projection
画	ガ		Image
毎	マイ		Chaque
月	ゲツ、ガツ		Mois
曜	ヨウ		Jour(de la semaine)
火	カ		Feu
水	スイ	みず	Eau
木	モク	き	Arbre
金	キン	かね	Or/Argent
来	ライ	く(る)	Venir
帰		かえ(る)	Retourner
変		か(える)	Changer
校	コウ		École
駅		えき	Gare
飛	ヒ		Voler
船		ふね	Bateau
鉄	テツ		Fer
幹	カン		Tronc
線	セン		Ligne
転	テン		Tourner
歩		ある(いて)	Marcher
友		とも	Ami
達		たち	Compagnons
彼		かれ	Il
女		おんな	Femme
家	カ		Maison
族	ゾク		Famille
週	シュウ		Semaine
去	キョ		Passé
年	ネン		Année
誕	タン		Anniversaire
飲		の(む)	Boire
吸		す(う)	Aspirer
見		み(る)	Voir
読		よ(む)	Lire
買		か(う)	Acheter
撮		と(る)	Prendre(photo)
写	シャ		Photographier
真	シン		Vrai
卵		たまご	Oeuf
肉	ニク		Viande
魚		さかな	Poisson
野	ヤ		Champ
菜	サイ		Légume
果		くだ	Fruit
物	モツ	もの	Chose, objet
茶	チャ		Thé
紅	コウ		Rouge,pourpre
牛	ギュウ		Boeuf,vache
乳	ニュウ		Lait
酒		さけ	Saké
紙		かみ	Papier
店	テン	みせ	Magasin,boutique
庭		にわ	Jardin
宿	シュク		Auberge,logement
題	ダイ		Sujet,thème
花		はな	Fleur
切	セツ	き(る)	Couper
送		おく(る)	Envoyer
貸		か(す)	Prêter
借		か(りる)	Emprunter
習		なら(う)	Apprendre
賀	ガ		Félicitations
状	ジョウ		Lettre,Document
消		け(す)	Eteindre,supprimer
荷		に	Charger,bagage
符	フ		Symbole,marque
父		ちち、(お)とう(さん)	Père
母		はは、(お)かあ(さん)	Mère
静		しず(かな)	Calme,silencieux
有	ユウ		Avoir,posséder
親	シン	あたら(しい)	Parent,proche
元	ゲン		Origine,base
気	キ		Esprit,humeur
暇		ひま(な)	Libre,temps libre
利	リ		Profit,avantage
小		ちい(さい)	Petit
古		ふる(い)	Vieux,ancien
悪		わる(い)	Mauvais,mal
熱		あつ(い)	Chaud
暑		あつ(い)	Chaud (température)
寒		さむ(い)	Froid
冷	レイ	つめ(たい)	Froid,frais
難		むずか(しい)	Difficile
易		やさ(しい)	Facile,simple
高		たか(い)	Haut,cher
安		やす(い)	Bon marché,sûr
低		ひく(い)	Bas,faible
忙		いそが(しい)	Occupé,pressé
楽	ガク	たの(しい)	Musique,agréable
白		しろ(い)	Blanc
黒		くろ(い)	Noir
赤		あか(い)	Rouge,pourpre
青		あお(い)	Bleu
桜		さくら	Cerisier,fleur de cerisier
山		やま	Montagne
町		まち	Ville,quartier
寮	リョウ		Dortoir,résidence
活	カツ		Vivre,actif
仕	シ		Faire,servir
好		す(きな)	Aimer,préférer
嫌		きら(いな)	Détester,ne pas aimer
上	ジョウ	うえ	Haut, dessus
料	リョウ		Frais,matériel
理	リ		Raison,logique
球	キュウ		Balle,sphère
旅	リョ		Voyage
音	オン		Son
歌	カ		Chanter,chanson
舞	ブ		Danse
伎	キ		Compétence,art
絵	エ		Image,peinture
字	ジ		Caractère,lettre
漢	カン		Chine,caractère chinois
細		こま(かい)	Fin,détaillé
間	カン	あいだ	Intervalle,entre
用	ヨウ		Utilisation,besoin
約	ヤク		Promesse,environ
束	ソク		Faisceau,lier
主	シュ		Principal,maître
夫		おっと	Mari
奥		おく	Intérieur,profond
妻		つま	Femme,épouse
内	ナイ		Intérieur,dans
子		こ	Enfant
供		ども	Compagnon,avec
少		すこ(し)	Peu,Un peu
全	ゼン		Entier,complet
然	ゼン		Ainsi,naturellement
早		はや(く)	Tôt,rapide
速		はや(く)	Rapide,vite
男		おとこ	Homme
犬		いぬ	Chien
猫		ねこ	Chat
像	ゾウ		Statue,image
池	チ		étang,bassin
箱		はこ	Boîte,caisse
蔵	ゾウ		Entrepôt, stocker
庫	コ		Dépôt, stockage
棚		たな	étagère
窓		まど	Fenêtre
公	コウ		Public,officiel
園	エン		Jardin,parc
喫	キツ		Consommer,boire
乗		の(る)	Monter,prendre
県	ケン		Préfecture
左		ひだり	Gauche
右		みぎ	Droite
中		なか	Milieu
外		そと	Extérieur
隣		となり	Voisin,à coté de
近		ちか(く)	près,proche
