漢字・かんじ	音読み・おんよみ	訓読み・くんよみ	れい	例	フランス語
一	イチ	ひと			un
二	二				deux
三	サン	み、みつ			trois
四	シ	よ、よん			quatre
五	ゴ				cinq
六	ロク				six
七	シチ	なな、しち			sept
八	ハチ	や、よん			huit
九	キュウ	ここの			neuf
十					dix
百	ひゃく				cent
千	せん				mille
山	サン、ザン	やま	やま、やまだ、かざん	山、山田、火山	montagne,yamada,volcan
川	せん	かわ			rivière
口					bouche
図	と,ず				carte
林		はやし			bois
森		もり			forêt
田		た			rizière
中	チュウ	なか			milieu , dedans
人		ひと			homme, personne
車		くるま			Voiture
館	かん				lieu, manoir
女		おんな			Femme
円	エン				yen(la tune)
右		みぎ			droite
左		ひだり			gauche
上	じょう	うえ			au dessus
下	か	した			en dessous
日	ニチ	ひ			jour,soleil,japon
国	こく	くに			pays
年	ねん	とし			année
大	だい	おお			grand, large
本	ほん	もと			livre
長	チョウ	ながい			long, chef
出	シュツ	でる			sortir, partir
時	ジ	とき			heure
行	コウ	いく			aller
見	けん	みる			voir
月	げつ	つき			lune, mois
後	ご	のち			après
前	ぜん	まえ			en face
生	せい	いきる			vie
間	かん	あいだ			intervalle, espace, entre
東	とう	ひがし			est
今	こん	いま			
金	きん	かね			or
入	ニュウ	いる			entrer,insérer
学	ガク	まなぶ			étudier,apprendre,science
高	こう	たかい			Grand, taille, cher
子	し	こ			enfant
外	がい	そと			extérieur
来	らい	くる			venir
気	き	いき			esprit, état d'esprit
小	しょう	ちいさい			petit
話	わ	はなす			parler
北	ほく	きた			nord
午	ご	うま			apres midi
書	しょ	かく			écrire
先	せん	さき			passé,futur
名	めい	な			prenom
水	スイ	みず			eau
半	はん	なかば			moitier
男	だん	おとこ			homme
西	せい	にし			année
電	デン				électricité
語	ゴ	かたる			la langue
土	ド	つち			terre
木	ぼく	き			
聞	ぶん	きく			ecouter
食	しょく	た(べる)			manger
何	か	なに			quoi
南	なん	みなみ			sud
万	マン	よろず			Dix mille
毎	まい	ごと			tout les quelque chose
白	はく	しろ			blanc
天	てん	あまつ			les cieux
母	ぼ	はは			maman
火	か	ひ			feu
読	どく	よむ			lire
友	ゆ	とも			ami
休	キュウ	やす(む)			village
父	フ	ちち			père
雨	ウ	あめ			pluie
校	コウ				école
