漢字	ひらがな	フランス語
@1		
私	わたし	Je
～人	じん	Personne
先生	せんせい	Professeur
教師	きょうし	Professeur
学生	がくせい	Étudiant
会社員	かいしゃいん	Employé d'une entreprise
社員	しゃいん	Employé
銀行員	ぎんこういん	Employé de banque
医者	いしゃ	Médecin
研究者	けんきゅうしゃ	Chercheur
大学	だいがく	Université
病院	びょういん	Hopital
歳	さい	Année
何歳	なんさい	Quelle année
初めまして	はじめまして	Enchanté
失礼	しつれい	Excuse
名前	なまえ	Nom
@2		
本	ほん	Livre
辞書	じしょ	Dictionnaire
雑誌	ざっし	Magazine,Revue
新聞	しんぶん	Journal
手帳	てちょう	Carnet
名刺	めいし	Carte de visite
鉛筆	えんぴつ	Crayon de bois
時計	とけい	Montre,Horloge,Réveil
傘	かさ	Parapluie
車	くるま	Voiture
机	つくえ	Bureau (table)
土産	おみやげ	(Cadeau) Souvenir
英語	えいご	Langue anglaise
日本語	にほんご	Langue japonaise
〜語	ご	Langue ~
@3	ゲイ	
教室	きょうしつ	
食堂	しょくどう	
事務所	じむしょ	
会議室	かいぎしつ	Salle de réunion
受付	うけつけ	
部屋	へや	
階段	かいだん	
自動販売機	じどうはんばいき	
電話	でんわ	
国	くに	
会社	かいしゃ	
靴	くつ	
売り場	うりば	
地下	ちか	
階	かい	
何階	なんがい	
円	えん	
百	ひゃく	
千	せん	
万	まん	
@4		
起きます	おきます	
寝ます	ねます	
働きます	はたらきます	
休みます	やすみます	
勉強します	べんきょうします	
銀行	ぎんこう	
郵便局	ゆうびんきょく	
図書館	としょかん	
美術館	びじゅつかん	
今	いま	
〜時	じ	
〜分	ふん	
半	はん	
何時	なんじ	
何分	なんふん	
午前	ごぜん	
午後	ごご	
朝	あさ	
昼	ひる	
晩	ばん	
夜	よる	
今晩	こんばん	
休み	やすみ	
昼休み	ひるやすみ	
試験	しけん	
会議	かいぎ	
映画	えいが	
毎朝	まいあさ	
毎晩	まいばん	
毎日	まいにち	
月曜日	げつようび	
火曜日	かようび	
水曜日	すいようび	
木曜日	もくようび	
金曜日	きんようび	
土曜日	どようび	
日曜日	にちようび	
何曜日	なんようび	
@5		
行きます	いきます	
来ます	きます	
帰ります	かえります	Rentrer
変えます	かえます	Changer
学校	がっこう	
駅	えき	
飛行機	ひこうき	
船	ふね	
電車	でんしゃ	
地下鉄	ちかてつ	
新幹線	しんかんせん	
自転車	じてんしゃ	
歩いて	あるいて	
人	ひと	
友達	ともだち	
彼	かれ	
彼女	かのじょ	
家族	かぞく	
一人で	ひとりで	
先週	せんしゅう	
今週	こんしゅう	
来週	らいしゅう	
先月	せんげつ	
今月	こんげつ	
来月	らいげつ	
去年	きょねん	
来年	らいねん	
〜年	ねん	
何年	なんねん	
～月	がつ	
何月	なんがつ	
誕生日	たんじょうび	
@6		
食べます		
飲みます		
吸います		
見ます		
聞きます		
読みます		
書きます		
買います		
撮ります		
会います		
朝ごはん		
昼ごはん		
晩ごはん		
卵		
肉		
魚		
野菜		
果物		
水		
お茶		
紅茶		
牛乳		
お酒		
手紙		
写真		
店		
庭		
宿題		
お花見		
何		
時々		
@7		
切ります		
送ります		
貸します		
借ります		
教えます		
習います		
手		
年賀中		
消しゴム	けしゴム	
紙		
花		
荷物		
お金		
切符		
父		
母		
お父さん		
お母さん		
@8		
静かな		
有名な		
新設な		
元気な		
暇な		
便利な		
大きい		
小さい		
新しい		
古い		
悪い		
熱い		Chaud (au toucher) 
暑い		Chaud (Température) 
寒い		
冷たい		
難しい		
易しい		
高い		
安い		
低い		
忙しい		
楽しい		
白い		
黒い		
赤い		
青い		
桜		
山		
町		
食べ物		
所		
寮		
生活		
お仕事		
@9		
好きな		
浚いな		
上手な		
下手な		
飲み物		
料理		
野球		
旅行		
音楽		
歌		
歌舞伎		
絵		
字		
漢字		
ローマ字		
細かいお金		
時間		
用事		
約束		
ご主人		
夫		
主人		
奥さん		
妻		
家内		
子供		
少し		
全然		
早く		
速く		
@10		
男の子		
女の子		
女の人		
男の人		
犬		
猫		
像		
木		
物		
電池		
箱		
冷蔵庫		
棚		
窓		
公園		
喫茶店		
~屋		
乗り場		
県		
上		
下		
前		
左		
右		
中		
外		
隣		
近く		
間		
